Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001362, Random time: 0.000140, Bucket time: 0.000342, Sort time: 0.000483, Merge time: 0.000084
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001397, Random time: 0.000140, Bucket time: 0.000341, Sort time: 0.000484, Merge time: 0.000084
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001362, Random time: 0.000140, Bucket time: 0.000341, Sort time: 0.000484, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001379, Random time: 0.000140, Bucket time: 0.000343, Sort time: 0.000481, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001362, Random time: 0.000139, Bucket time: 0.000359, Sort time: 0.000468, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001377, Random time: 0.000138, Bucket time: 0.000345, Sort time: 0.000461, Merge time: 0.000106
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001368, Random time: 0.000140, Bucket time: 0.000360, Sort time: 0.000470, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001382, Random time: 0.000159, Bucket time: 0.000329, Sort time: 0.000498, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001365, Random time: 0.000139, Bucket time: 0.000351, Sort time: 0.000484, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001383, Random time: 0.000141, Bucket time: 0.000361, Sort time: 0.000468, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001412, Random time: 0.000163, Bucket time: 0.000340, Sort time: 0.000483, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001372, Random time: 0.000140, Bucket time: 0.000344, Sort time: 0.000467, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001359, Random time: 0.000140, Bucket time: 0.000359, Sort time: 0.000465, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001365, Random time: 0.000139, Bucket time: 0.000360, Sort time: 0.000470, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001405, Random time: 0.000163, Bucket time: 0.000340, Sort time: 0.000502, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001405, Random time: 0.000141, Bucket time: 0.000340, Sort time: 0.000501, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001359, Random time: 0.000140, Bucket time: 0.000355, Sort time: 0.000469, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001379, Random time: 0.000140, Bucket time: 0.000333, Sort time: 0.000468, Merge time: 0.000096
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001364, Random time: 0.000141, Bucket time: 0.000345, Sort time: 0.000478, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001400, Random time: 0.000145, Bucket time: 0.000343, Sort time: 0.000468, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001398, Random time: 0.000140, Bucket time: 0.000342, Sort time: 0.000497, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001370, Random time: 0.000140, Bucket time: 0.000357, Sort time: 0.000472, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001385, Random time: 0.000157, Bucket time: 0.000340, Sort time: 0.000484, Merge time: 0.000084
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001388, Random time: 0.000141, Bucket time: 0.000370, Sort time: 0.000469, Merge time: 0.000083
